iter	MultiClass
0	0.9798640164
1	0.8819837314
2	0.7995647011
3	0.7319120029
4	0.6727458825
5	0.6208106368
6	0.5734765758
7	0.5325996397
8	0.4964239111
9	0.4637330343
10	0.43552325
11	0.409194096
12	0.3855780648
13	0.3638366402
14	0.3434254809
15	0.325759192
16	0.3094952208
17	0.2928810641
18	0.278524102
19	0.2649355419
20	0.25287421
21	0.2417919361
22	0.2316302449
23	0.2217898475
24	0.2130533162
25	0.2055104799
26	0.1969420482
27	0.189371949
28	0.1818931673
29	0.1756772217
30	0.1697092169
31	0.1648260727
32	0.1601512907
33	0.1553934172
34	0.1507121674
35	0.146777286
36	0.1429483021
37	0.1391055277
38	0.1350052164
39	0.1315194644
40	0.1285857819
41	0.1256297238
42	0.1230254098
43	0.1202915663
44	0.1173802252
45	0.1149211427
46	0.1122730028
47	0.1098295278
48	0.1079702694
49	0.1061167181
50	0.1039384538
51	0.1024728288
52	0.1007948997
53	0.09861558544
54	0.0974204488
55	0.09543431053
56	0.09419243185
57	0.0924641178
58	0.09104317565
59	0.08975926575
60	0.08852919372
61	0.08715314878
62	0.08547373512
63	0.08430242702
64	0.08294194205
65	0.08172564028
66	0.0808068794
67	0.07954878551
68	0.07827698413
69	0.07720918763
70	0.07638645634
71	0.07535058444
72	0.07465972797
73	0.07379537273
74	0.07276949413
75	0.07178884446
76	0.07081270863
77	0.06993716085
78	0.06886457783
79	0.06825876249
80	0.06745382656
81	0.06672581992
82	0.06592592969
83	0.06495777159
84	0.0643528794
85	0.06355350285
86	0.06287169835
87	0.06201010821
88	0.06127489387
89	0.06072943741
90	0.06000633746
91	0.05936751971
92	0.05894796826
93	0.05843947644
94	0.05797413641
95	0.05746432414
96	0.05682433153
97	0.05633494751
98	0.05566857527
99	0.05499395395
100	0.05444803248
101	0.05385640898
102	0.05350654483
103	0.05290241391
104	0.05248479226
105	0.05200769744
106	0.05162384001
107	0.05110149961
108	0.05055999702
109	0.05014762172
110	0.04970227582
111	0.04923181336
112	0.04879759858
113	0.04842951507
114	0.04788241594
115	0.04746439043
116	0.04714924657
117	0.04679142714
118	0.04640344103
119	0.04591404842
120	0.04547872169
121	0.04509977812
122	0.04481531124
123	0.04448545759
124	0.04405438799
125	0.04377586174
126	0.04332074352
127	0.04300537664
128	0.04265589534
129	0.04238787468
130	0.04210210452
131	0.04195720673
132	0.04162296068
133	0.0414010682
134	0.0411567492
135	0.04088218376
136	0.04067497351
137	0.04033939633
138	0.03993785899
139	0.0396972327
140	0.03943660779
141	0.03913136916
142	0.03901511929
143	0.03872213978
144	0.03845511015
145	0.03827090864
146	0.03804926575
147	0.0377045065
148	0.03745752739
149	0.03723135698
150	0.03695003783
151	0.03667905449
152	0.03636705587
153	0.03615161747
154	0.03596011191
155	0.0357186127
156	0.03546918416
157	0.03529177528
158	0.03500228205
159	0.03480117677
160	0.03462847012
161	0.03441267142
162	0.03422171947
163	0.03400477878
164	0.03381182232
165	0.03362690464
166	0.03339731026
167	0.0331677598
168	0.03303156769
169	0.03287188702
170	0.03270797582
171	0.03251647188
172	0.03224684766
173	0.03212956461
174	0.03195915663
175	0.03182157452
176	0.03167746575
177	0.03153401523
178	0.03140744698
179	0.03122983385
180	0.03109910905
181	0.03090182319
182	0.03075651446
183	0.0306627664
184	0.03052645207
185	0.03032162195
186	0.03009823197
187	0.02996956526
188	0.02982390852
189	0.02967113157
190	0.02955695288
191	0.02942972506
192	0.02919833436
193	0.02905244786
194	0.02889132277
195	0.02878972808
196	0.02857431079
197	0.02842586473
198	0.02825160767
199	0.02812334477
200	0.02799143087
201	0.02783877552
202	0.02764672194
203	0.02754016941
204	0.02741363276
205	0.02733595223
206	0.02718000404
207	0.02704373864
208	0.02686837583
209	0.02670783249
210	0.02659991082
211	0.02647773084
212	0.02635865436
213	0.02622159509
214	0.02616003086
215	0.0260708269
216	0.02592362994
217	0.02584341453
218	0.02575043396
219	0.02562945343
220	0.02550540268
221	0.02538013679
222	0.02532062307
223	0.02521471254
224	0.02509557546
225	0.02498721184
226	0.02484407717
227	0.02467514722
228	0.02448371556
229	0.02433821787
230	0.02424412063
231	0.02410835616
232	0.02401311188
233	0.02384368431
234	0.02376859178
235	0.02365247464
236	0.02357459853
237	0.02350593528
238	0.02337380502
239	0.02323245213
240	0.02318173016
241	0.02306303437
242	0.02300181304
243	0.02286138431
244	0.02276313956
245	0.02267603186
246	0.02255800656
247	0.02247299897
248	0.02238365663
249	0.02227927597
250	0.02215429696
251	0.02208390081
252	0.02197076545
253	0.02185636881
254	0.02178970461
255	0.02163484068
256	0.02154118775
257	0.02144737915
258	0.02133490742
259	0.02126464251
260	0.02122211258
261	0.02114738723
262	0.02101144348
263	0.02094237816
264	0.02083878388
265	0.0207447679
266	0.02060928126
267	0.02050251167
268	0.02041064158
269	0.02031903305
270	0.02024361551
271	0.0201845581
272	0.02007875642
273	0.02000807021
274	0.01990822845
275	0.01983012697
276	0.01975257182
277	0.01967825763
278	0.0196225905
279	0.0195446312
280	0.01947252173
281	0.01938264359
282	0.01931901383
283	0.01923250043
284	0.01913175665
285	0.01903645341
286	0.01893025224
287	0.01885587658
288	0.01879554322
289	0.01871585895
290	0.01863631663
291	0.01857739631
292	0.01847446356
293	0.01844132118
294	0.01837800025
295	0.01830401912
296	0.01823745746
297	0.01815773514
298	0.01806870828
299	0.0180173997
300	0.01794895582
301	0.01789214477
302	0.01783692487
303	0.01781572577
304	0.01776042911
305	0.01770663403
306	0.01764778231
307	0.01753891349
308	0.01741915637
309	0.01734550505
310	0.01729756693
311	0.01725668527
312	0.01718177533
313	0.0171433042
314	0.01708324815
315	0.01704447603
316	0.01697174119
317	0.01691199359
318	0.01686357245
319	0.01679925503
320	0.01674767852
321	0.01668320631
322	0.01665340373
323	0.01661664669
324	0.01655569801
325	0.01650750073
326	0.01647519653
327	0.01643044321
328	0.01638822741
329	0.01632567045
330	0.01627443913
331	0.01621753167
332	0.01615167368
333	0.01611108607
334	0.01607580233
335	0.01600028432
336	0.01594844563
337	0.01590365435
338	0.01588432154
339	0.01585087635
340	0.01578106696
341	0.0157538816
342	0.01571613595
343	0.0156842699
344	0.01563443473
345	0.0155832068
346	0.01549166084
347	0.01543209838
348	0.01537851648
349	0.01531574076
350	0.01529379027
351	0.01524046042
352	0.01519378407
353	0.01515910916
354	0.01512739352
355	0.01504685791
356	0.01500254209
